,Unnamed: 0,日期,历史销量,当天温度,当天油价,节假日,当时天气,item_id,,reindexed_id,节假日_embed_0,当时天气_embed_0,节假日_embed_1,当时天气_embed_1,节假日_embed_2,当时天气_embed_2,item_id_embed_0,item_id_embed_1,item_id_embed_2
2014,2014,2023/4/4,1580,0.017391304,0.431966077,工作日,晴,MD0D_300874,64,23,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.033596277,-0.02637279,0.0765165
2030,2030,2023/4/20,7144,0.065217391,0.431966077,工作日,晴,MD0D_300874,64,23,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.033596277,-0.02637279,0.0765165
2052,2052,2023/5/17,7943,0.191304348,0.419222784,工作日,小雨,MD0D_300874,64,23,0.34693596,-0.45605165,0.09961563,-0.383691,-0.6226144,0.084119916,-0.033596277,-0.02637279,0.0765165
2029,2029,2023/4/19,7995,0.117391304,0.431966077,工作日,晴,MD0D_300874,64,23,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.033596277,-0.02637279,0.0765165
2036,2036,2023/4/27,8218,0.173913043,0.431966077,工作日,晴,MD0D_300874,64,23,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.033596277,-0.02637279,0.0765165
2033,2033,2023/4/23,8252,0.17826087,0.431966077,工作日,晴,MD0D_300874,64,23,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.033596277,-0.02637279,0.0765165
2045,2045,2023/5/7,8377,0.673913043,0.419222784,周末,小雨,MD0D_300874,64,23,0.11682984,-0.45605165,-0.119455874,-0.383691,-0.08843416,0.084119916,-0.033596277,-0.02637279,0.0765165
2076,2076,2023/6/30,8608,0.682608696,0.814411586,工作日,小雨,MD0D_300874,64,23,0.34693596,-0.45605165,0.09961563,-0.383691,-0.6226144,0.084119916,-0.033596277,-0.02637279,0.0765165
2032,2032,2023/4/22,8640,0.273913043,0.431966077,周末,阴,MD0D_300874,64,23,0.11682984,-0.3706413,-0.119455874,0.35200953,-0.08843416,-0.17355454,-0.033596277,-0.02637279,0.0765165
2022,2022,2023/4/12,8844,0.252173913,0.431966077,工作日,晴,MD0D_300874,64,23,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.033596277,-0.02637279,0.0765165
2034,2034,2023/4/25,8866,0.008695652,0.431966077,工作日,阴,MD0D_300874,64,23,0.34693596,-0.3706413,0.09961563,0.35200953,-0.6226144,-0.17355454,-0.033596277,-0.02637279,0.0765165
2035,2035,2023/4/26,9001,0.417391304,0.431966077,工作日,阴,MD0D_300874,64,23,0.34693596,-0.3706413,0.09961563,0.35200953,-0.6226144,-0.17355454,-0.033596277,-0.02637279,0.0765165
2050,2050,2023/5/12,9113,0.613043478,0.419222784,工作日,阴,MD0D_300874,64,23,0.34693596,-0.3706413,0.09961563,0.35200953,-0.6226144,-0.17355454,-0.033596277,-0.02637279,0.0765165
2046,2046,2023/5/8,9127,0.560869565,0.419222784,工作日,阴,MD0D_300874,64,23,0.34693596,-0.3706413,0.09961563,0.35200953,-0.6226144,-0.17355454,-0.033596277,-0.02637279,0.0765165
2048,2048,2023/5/10,9207,0.5,0.419222784,工作日,阴,MD0D_300874,64,23,0.34693596,-0.3706413,0.09961563,0.35200953,-0.6226144,-0.17355454,-0.033596277,-0.02637279,0.0765165
2057,2057,2023/5/22,9234,0.582608696,0.419222784,工作日,小雨,MD0D_300874,64,23,0.34693596,-0.45605165,0.09961563,-0.383691,-0.6226144,0.084119916,-0.033596277,-0.02637279,0.0765165
2070,2070,2023/6/24,9241,0.691304348,0.814411586,端午,阴,MD0D_300874,64,23,0.27282408,-0.3706413,0.44870573,0.35200953,-0.10796219,-0.17355454,-0.033596277,-0.02637279,0.0765165
2058,2058,2023/5/23,9403,0.582608696,0.419222784,工作日,晴,MD0D_300874,64,23,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.033596277,-0.02637279,0.0765165
2016,2016,2023/4/6,9432,0.108695652,0.431966077,工作日,晴,MD0D_300874,64,23,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.033596277,-0.02637279,0.0765165
2073,2073,2023/6/27,9486,0.917391304,0.814411586,工作日,中雨,MD0D_300874,64,23,0.34693596,0.27830893,0.09961563,-0.14739233,-0.6226144,-0.49761134,-0.033596277,-0.02637279,0.0765165
2066,2066,2023/6/20,9537,0.969565217,0.814411586,工作日,中雨,MD0D_300874,64,23,0.34693596,0.27830893,0.09961563,-0.14739233,-0.6226144,-0.49761134,-0.033596277,-0.02637279,0.0765165
2015,2015,2023/4/5,9558,0.182608696,0.431966077,清明,晴,MD0D_300874,64,23,0.27869418,0.16187012,0.3935554,0.03897214,-0.2981913,-0.612784,-0.033596277,-0.02637279,0.0765165
2023,2023,2023/4/13,9602,0.408695652,0.431966077,工作日,晴,MD0D_300874,64,23,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.033596277,-0.02637279,0.0765165
2018,2018,2023/4/8,9623,0.134782609,0.431966077,周末,晴,MD0D_300874,64,23,0.11682984,0.16187012,-0.119455874,0.03897214,-0.08843416,-0.612784,-0.033596277,-0.02637279,0.0765165
2044,2044,2023/5/5,9720,0.434782609,0.419222784,工作日,阴,MD0D_300874,64,23,0.34693596,-0.3706413,0.09961563,0.35200953,-0.6226144,-0.17355454,-0.033596277,-0.02637279,0.0765165
2065,2065,2023/6/19,9740,0.773913043,0.814411586,工作日,晴,MD0D_300874,64,23,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.033596277,-0.02637279,0.0765165
2059,2059,2023/5/24,9766,0.569565217,0.419222784,工作日,晴,MD0D_300874,64,23,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.033596277,-0.02637279,0.0765165
2061,2061,2023/5/26,9818,0.417391304,0.419222784,工作日,阴,MD0D_300874,64,23,0.34693596,-0.3706413,0.09961563,0.35200953,-0.6226144,-0.17355454,-0.033596277,-0.02637279,0.0765165
